Source_File,ProbeNr,Time_Segment,Start_Time_UTC,End_Time_UTC,Duration_h,Al_wt_pct,IPA_wt_pct,PG_wt_pct,Water_wt_pct,Property,Unit,N,Slope_per_h,Intercept,Slope_CI95_Low,Slope_CI95_High,Slope_p_value,Time_R2,Spearman_rho,Spearman_p_value,Fitted_Change
Kennfeld_v2 (10) korrigiert.csv,0,1,2012-01-23 00:14:28.362,2012-01-23 00:15:06.871,0.010696944444444445,0.0,0.0,0.0,100.0,Density,kg/m^3,3,0.013134427678498794,0.0717072993137849,-0.07820727394850306,0.10447612930550064,0.3188090310048873,0.7694910616499506,0.5,0.6666666666666666,0.00014049824318647502
Kennfeld_v2 (10) korrigiert.csv,0,1,2012-01-23 00:14:28.362,2012-01-23 00:15:06.871,0.010696944444444445,0.0,0.0,0.0,100.0,Sound velocity,m/s,3,0.09168940813358596,-0.011730059370956012,-0.2577941808495855,0.4411729971167574,0.18553526237811047,0.9174414781544068,0.5,0.6666666666666666,0.0009807965049489617
Kennfeld_v2 (10) korrigiert.csv,0,2,2026-08-20 09:18:06.037,2026-08-20 09:26:07.117,0.13363333333333333,1.8128121528499048,3.6256243056998096,3.6256243056998096,90.93593923575048,Density,kg/m^3,3,-0.16077364008629078,0.9835666237747793,-0.17493118162022922,-0.14661609855235233,0.004411947346284344,0.9999519721171372,-1.0,0.0,-0.021484717436864656
Kennfeld_v2 (10) korrigiert.csv,0,2,2026-08-20 09:18:06.037,2026-08-20 09:26:07.117,0.13363333333333333,1.8128121528499048,3.6256243056998096,3.6256243056998096,90.93593923575048,Sound velocity,m/s,3,0.7691084204322594,-2.3232721884317646,0.38874097334140384,1.149475867523115,0.024766285851237642,0.9984873361977724,1.0,0.0,0.10277852191709759
Kennfeld_v2 (10) korrigiert.csv,1,1,2026-08-20 11:32:24.579,2026-08-20 11:56:25.559,0.40027222222222225,1.8128121528499048,3.6256243056998096,3.6256243056998096,90.93593923575048,Density,kg/m^3,5,-0.17586275312660402,0.6193603006138255,-0.18351998557627058,-0.16820552067693745,5.6440233360065014e-06,0.9994387566627566,-0.9999999999999999,1.4042654220543602e-24,-0.07039297500010386
Kennfeld_v2 (10) korrigiert.csv,1,1,2026-08-20 11:32:24.579,2026-08-20 11:56:25.559,0.40027222222222225,1.8128121528499048,3.6256243056998096,3.6256243056998096,90.93593923575048,Sound velocity,m/s,5,0.9317133614253197,-0.6845344882563497,0.8111598704040983,1.052266852446541,0.00014733350402679194,0.995065471327516,0.9999999999999999,1.4042654220543602e-24,0.37293897765184925
Kennfeld_v2 (10) korrigiert.csv,1,2,2026-08-20 12:06:08.289,2026-08-20 13:10:08.353,1.0666844444444443,1.7493768411511441,6.998030295107114,3.4987536823022887,87.75383918143945,Density,kg/m^3,33,-0.47309382592729643,0.6656220611282069,-0.5792867284115634,-0.3669009234430295,3.002127227794751e-10,0.7270106326173128,-0.9983288770053477,5.893972534176747e-40,-0.5046418248793548
Kennfeld_v2 (10) korrigiert.csv,1,2,2026-08-20 12:06:08.289,2026-08-20 13:10:08.353,1.0666844444444443,1.7493768411511441,6.998030295107114,3.4987536823022887,87.75383918143945,Sound velocity,m/s,33,1.6399169864443566,-1.879652594233206,1.424209348582961,1.8556246243057521,3.7336589144040597e-16,0.8857847570703636,1.0,0.0,1.7492739396204058
Kennfeld_v2 (10) korrigiert.csv,1,3,2026-08-20 13:51:26.368,2026-08-20 14:29:26.409,0.6333447222222223,2.270275762219644,7.93995377151614,4.540551524439289,85.2492189418249,Density,kg/m^3,20,-0.5114239207880453,0.3260439033895276,-0.5738633877719731,-0.44898445380411756,1.2688360989388521e-12,0.9426965403010994,-1.0,0.0,-0.32390764104930436
Kennfeld_v2 (10) korrigiert.csv,1,3,2026-08-20 13:51:26.368,2026-08-20 14:29:26.409,0.6333447222222223,2.270275762219644,7.93995377151614,4.540551524439289,85.2492189418249,Sound velocity,m/s,20,2.749543110418257,-2.7517813977880854,2.4565654833633404,3.0425207374731733,1.2319520122086926e-13,0.9557469314411831,1.0,0.0,1.7414086175058758
