Source_File,ProbeNr,Property,Unit,Start_Time_UTC,End_Time_UTC,Duration_h,Max_Gap_h,First_Error,Last_Error,Raw_First_to_Last_Change,N,Slope_per_h,Intercept,Slope_CI95_Low,Slope_CI95_High,Slope_p_value,Time_R2,Spearman_rho,Spearman_p_value,Fitted_Change,Within_Segment_N,Within_Segment_Count,Within_Segment_Slope_per_h,Within_Segment_CI95_Low,Within_Segment_CI95_High,Within_Segment_p_value,Within_Segment_R2
Kennfeld_v2 (18)_korrigiert.csv,0,Density,kg/m³,2012-01-23 00:14:28.362,2026-08-20 09:26:07.117,127761.19409861111,4608.613424444444,0.07169759999999314,0.9621456484701412,0.890448048470148,6,7.038949352818949e-06,0.0717906926542734,6.899013038459233e-06,7.1788856671786644e-06,1.5766555389104832e-08,0.9997949603111682,0.7142857142857143,0.11078717201166179,0.8993045745157948,6,2,-0.15963791021781232,-0.18547874581820575,-0.13379707461741888,0.000287520552607619,0.9922983743865266
Kennfeld_v2 (18)_korrigiert.csv,0,Sound velocity,m/s,2012-01-23 00:14:28.362,2026-08-20 09:26:07.117,127761.19409861111,4608.613424444444,-0.011767170032726426,-2.218781121151551,-2.2070139511188245,6,-1.763026201159528e-05,-0.011147526718063183,-1.8300180689517647e-05,-1.6960343333672914e-05,2.102355025292929e-07,0.9992513424837691,-0.6,0.208,-2.2524633268727947,6,2,0.7646844450778372,0.6503443874877965,0.8790245026678778,0.00022693174863704942,0.9934209272217567
Kennfeld_v2 (18)_korrigiert.csv,1,Density,kg/m³,2026-08-20 11:32:24.579,2026-08-21 08:28:30.007,20.934841111111112,16.583119444444446,0.6199427773713069,6.132131874972629,5.512189097601322,78,0.10585836221190552,0.1637570795268498,0.0428010163651482,0.16891570805866285,0.0012862514478357264,0.12823348883859906,-0.4943948102301067,4.214534074752939e-06,2.2161279931886906,78,4,2.8290059425723197,1.4396072136840414,4.218404671460598,0.000122765714670935,0.1840611121801906
Kennfeld_v2 (18)_korrigiert.csv,1,Sound velocity,m/s,2026-08-20 11:32:24.579,2026-08-21 08:28:30.007,20.934841111111112,16.583119444444446,-0.6953273585527313,88.10242536061583,88.79775271916856,78,1.2970678519855983,-3.4927978126928734,0.8423387479685795,1.751796956002617,2.3422758415301076e-07,0.2980785437133968,0.3832141479745538,0.000534154110780726,27.153909391648686,78,4,35.29616786331037,27.64777255985402,42.94456316676673,7.949609855595868e-14,0.5367776646773629
Kennfeld_v2 (18)_korrigiert.csv,2,Density,kg/m³,2026-08-21 08:31:16.201,2026-08-21 08:31:16.201,0.0,,0.18226090000018758,0.18226090000018758,0.0,1,,,,,,,,,,1,1,,,,,
Kennfeld_v2 (18)_korrigiert.csv,2,Sound velocity,m/s,2026-08-21 08:31:16.201,2026-08-21 08:31:16.201,0.0,,-0.5838394478566897,-0.5838394478566897,0.0,1,,,,,,,,,,1,1,,,,,
Kennfeld_v2 (18)_korrigiert.csv,3,Density,kg/m³,2026-08-21 09:35:18.227,2026-08-21 13:47:24.128,4.201639166666666,0.9743725,1.288935067412126,0.7577948279412112,-0.5311402394709148,80,-0.09120961331101762,1.2199874647413804,-0.10911749477016856,-0.07330173185186668,6.797300792450699e-16,0.5686267096855852,-0.8046812276347016,2.424398631531011e-19,-0.38322988366409294,80,6,-0.29431351800991096,-0.3249399369718717,-0.26368709904795024,3.4606815598089975e-30,0.834019286358783
Kennfeld_v2 (18)_korrigiert.csv,3,Sound velocity,m/s,2026-08-21 09:35:18.227,2026-08-21 13:47:24.128,4.201639166666666,0.9743725,-2.814476155464945,-1.3941295714207627,1.4203465840441822,80,0.038240197861981476,-1.9307398641951994,-0.06856032862674682,0.14504072435070978,0.4780794296057713,0.006472240956978339,0.02657071361223317,0.8150186528413308,0.16067151307798427,80,6,1.3855355318451061,1.2743592565606614,1.4967118071295509,2.4415657634774558e-37,0.8941896701582328
Kennfeld_v2 (18)_korrigiert.csv,4,Density,kg/m³,2026-08-27 08:21:42.504,2026-08-27 14:26:15.911,6.075946388888888,0.8600355555555556,0.8080825420701103,-0.0439496145514795,-0.8520321566215898,113,-0.01601780330080356,0.6210713776249642,-0.10132433041513314,0.06928872381352602,0.7105470894147417,0.0012456456374491526,-0.7642058686539359,7.103275015378726e-23,-0.0973233141234499,113,9,-1.10882484789394,-2.144012273637057,-0.07363742215082292,0.03603489168026944,0.04197481079373311
Kennfeld_v2 (18)_korrigiert.csv,4,Sound velocity,m/s,2026-08-27 08:21:42.504,2026-08-27 14:26:15.911,6.075946388888888,0.8600355555555556,-2.38342273062608,-2.856787544172221,-0.4733648135461408,113,-0.3734181725192252,-1.7652583926913117,-0.4860423635121954,-0.26079398152625505,1.6879033245419958e-09,0.2799983436290601,-0.530141725996407,1.553601251658369e-09,-2.2688687968636745,113,9,1.5156819830090547,1.3236900569777768,1.7076739090403326,5.367950136257923e-29,0.704140661283613
Kennfeld_v2 (18)_korrigiert.csv,5,Density,kg/m³,2026-08-28 10:11:02.995,2026-08-28 14:07:43.149,3.9444872222222225,0.2483013888888889,1.2672643089725852,0.68277139014765,-0.5844929188249353,98,-0.13227267386769628,1.2416382709416212,-0.1389766374605708,-0.12556871027482178,7.729282491000055e-61,0.9410999255902336,-0.9587118821286713,3.175317897758609e-54,-0.5217478719202953,98,2,-0.12676681108020715,-0.13549237811737522,-0.11804124404303909,8.778463498835123e-49,0.8975043345068979
Kennfeld_v2 (18)_korrigiert.csv,5,Sound velocity,m/s,2026-08-28 10:11:02.995,2026-08-28 14:07:43.149,3.9444872222222225,0.2483013888888889,-2.3689335338924593,-0.8634900926367663,1.505443441255693,98,0.3878761403080398,-2.7311556090374958,0.3441379121131658,0.4316143685029138,8.192560051922275e-32,0.7634703900800938,0.9056927363260205,1.4874144207013506e-37,1.529972479249937,98,2,0.5374736086473174,0.5030481629120758,0.5718990543825591,1.8019569464100757e-51,0.9100119750190796
Kennfeld_v2 (18)_korrigiert.csv,6,Density,kg/m³,2026-01-09 12:08:19.932,2026-01-09 13:48:15.976,1.6655677777777778,0.8322200000000001,1.627023896712899,1.305708268448143,-0.321315628264756,27,-0.1494778138586487,1.5671752346286707,-0.17664808452819047,-0.12230754318910692,2.4335389722048307e-11,0.8370086498102005,-0.9188034188034188,1.379066454908071e-11,-0.2489654302556298,27,1,-0.1494778138586487,-0.17664808452819045,-0.12230754318910696,2.433538972204764e-11,0.837008649810201
Kennfeld_v2 (18)_korrigiert.csv,6,Sound velocity,m/s,2026-01-09 12:08:19.932,2026-01-09 13:48:15.976,1.6655677777777778,0.8322200000000001,-2.6818898127392004,-1.3397454856476543,1.342144327091546,27,0.7055523960863279,-2.6150456826742867,0.6501939976475083,0.7609107945251475,1.0201446822398434e-19,0.9649869387121719,0.9999999999999999,3.381668924759664e-197,1.1751453364552917,27,1,0.705552396086328,0.6501939976475083,0.7609107945251478,1.020144682239863e-19,0.9649869387121719
