Source_File,ProbeNr,Property,Unit,Start_Time_UTC,End_Time_UTC,Duration_h,Max_Gap_h,First_Error,Last_Error,Raw_First_to_Last_Change,N,Slope_per_h,Intercept,Slope_CI95_Low,Slope_CI95_High,Slope_p_value,Time_R2,Spearman_rho,Spearman_p_value,Fitted_Change,Within_Segment_N,Within_Segment_Count,Within_Segment_Slope_per_h,Within_Segment_CI95_Low,Within_Segment_CI95_High,Within_Segment_p_value,Within_Segment_R2
Kennfeld_v2 (10) korrigiert.csv,0,Density,kg/m^3,2012-01-23 00:14:28.362,2026-08-20 09:26:07.117,127761.19409861111,127761.04976833334,0.07169759999999314,0.9621456484701412,0.890448048470148,6,7.038949352818949e-06,0.0717906926542734,6.899013038459233e-06,7.1788856671786644e-06,1.5766555389104832e-08,0.9997949603111682,0.7142857142857143,0.11078717201166179,0.8993045745157948,6,2,-0.15963791021781232,-0.18547874581820575,-0.13379707461741888,0.000287520552607619,0.9922983743865266
Kennfeld_v2 (10) korrigiert.csv,0,Sound velocity,m/s,2012-01-23 00:14:28.362,2026-08-20 09:26:07.117,127761.19409861111,127761.04976833334,-0.011767170032726426,-2.218781121151551,-2.2070139511188245,6,-1.763026201159528e-05,-0.011147526718063183,-1.8300180689517647e-05,-1.6960343333672914e-05,2.102355025292929e-07,0.9992513424837691,-0.6,0.208,-2.2524633268727947,6,2,0.7646844450778372,0.6503443874877965,0.8790245026678778,0.00022693174863704942,0.9934209272217567
Kennfeld_v2 (10) korrigiert.csv,1,Density,kg/m^3,2026-08-20 11:32:24.579,2026-08-21 08:28:30.007,20.934841111111112,16.583119444444446,0.6199427773713069,6.132131874972629,5.512189097601322,78,0.10585836221190552,0.1637570795268498,0.0428010163651482,0.16891570805866285,0.0012862514478357264,0.12823348883859906,-0.4943948102301067,4.214534074752939e-06,2.2161279931886906,78,4,2.8290059425723197,1.4396072136840414,4.218404671460598,0.000122765714670935,0.1840611121801906
Kennfeld_v2 (10) korrigiert.csv,1,Sound velocity,m/s,2026-08-20 11:32:24.579,2026-08-21 08:28:30.007,20.934841111111112,16.583119444444446,-0.6953273585527313,88.10242536061583,88.79775271916856,78,1.2970678519855983,-3.4927978126928734,0.8423387479685795,1.751796956002617,2.3422758415301076e-07,0.2980785437133968,0.3832141479745538,0.000534154110780726,27.153909391648686,78,4,35.29616786331037,27.64777255985402,42.94456316676673,7.949609855595868e-14,0.5367776646773629
Kennfeld_v2 (10) korrigiert.csv,2,Density,kg/m^3,2026-08-21 08:31:16.201,2026-08-21 08:31:16.201,0.0,,0.18226090000018758,0.18226090000018758,0.0,1,,,,,,,,,,1,1,,,,,
Kennfeld_v2 (10) korrigiert.csv,2,Sound velocity,m/s,2026-08-21 08:31:16.201,2026-08-21 08:31:16.201,0.0,,-0.5838394478566897,-0.5838394478566897,0.0,1,,,,,,,,,,1,1,,,,,
Kennfeld_v2 (10) korrigiert.csv,3,Density,kg/m^3,2026-08-21 09:35:18.227,2026-08-21 13:47:24.128,4.201639166666666,0.9743725,1.288935067412126,0.7577948279412112,-0.5311402394709148,80,-0.09120961331101762,1.2199874647413804,-0.10911749477016856,-0.07330173185186668,6.797300792450699e-16,0.5686267096855852,-0.8046812276347016,2.424398631531011e-19,-0.38322988366409294,80,6,-0.29431351800991096,-0.3249399369718717,-0.26368709904795024,3.4606815598089975e-30,0.834019286358783
Kennfeld_v2 (10) korrigiert.csv,3,Sound velocity,m/s,2026-08-21 09:35:18.227,2026-08-21 13:47:24.128,4.201639166666666,0.9743725,-2.814476155464945,-1.3941295714207627,1.4203465840441822,80,0.038240197861981476,-1.9307398641951994,-0.06856032862674682,0.14504072435070978,0.4780794296057713,0.006472240956978339,0.02657071361223317,0.8150186528413308,0.16067151307798427,80,6,1.3855355318451061,1.2743592565606614,1.4967118071295509,2.4415657634774558e-37,0.8941896701582328
Kennfeld_v2 (13).csv,0,Density,kg/m^3,2012-01-23 00:14:28.362,2026-08-20 09:26:07.117,127761.19409861111,127761.04976833334,0.07169759999999314,0.9621456484701412,0.890448048470148,6,7.038949352818949e-06,0.0717906926542734,6.899013038459233e-06,7.1788856671786644e-06,1.5766555389104832e-08,0.9997949603111682,0.7142857142857143,0.11078717201166179,0.8993045745157948,6,2,-0.15963791021781232,-0.18547874581820575,-0.13379707461741888,0.000287520552607619,0.9922983743865266
Kennfeld_v2 (13).csv,0,Sound velocity,m/s,2012-01-23 00:14:28.362,2026-08-20 09:26:07.117,127761.19409861111,127761.04976833334,-0.011767170032726426,-2.218781121151551,-2.2070139511188245,6,-1.763026201159528e-05,-0.011147526718063183,-1.8300180689517647e-05,-1.6960343333672914e-05,2.102355025292929e-07,0.9992513424837691,-0.6,0.208,-2.2524633268727947,6,2,0.7646844450778372,0.6503443874877965,0.8790245026678778,0.00022693174863704942,0.9934209272217567
